"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1970",4.2504881024916,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1971",4.39634101053492,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1972",4.62751498709203,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1973",5.04662591217187,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1974",5.82777488532619,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1975",6.51149642197638,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1976",7.1075909151436,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1977",7.83512597353528,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1978",8.1960110341955,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1979",8.52403595354962,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1980",9.40261236320804,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1981",10.3469090554787,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1982",11.3056180904275,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1983",12.0821551139248,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1984",13.785117524772,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1985",16.636455400212,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1986",21.8150983713155,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1987",23.4304337386796,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1988",24.3136220979951,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1989",22.7501711642722,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1990",21.1008226681877,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1991",19.7979468900853,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1992",18.8000000013468,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1993",18.975,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1994",21.475,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1995",23.05,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1996",25.125,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1997",28.125,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1998",31.25,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","1999",34.725,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2000",40.25,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2001",43.025,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2002",45.1749999999999,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2003",45.925,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2004",50.6,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2005",54.775,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2006",62.275,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2007",70.1,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2008",69.3499999999999,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2009",70.675,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2010",76.4749999999999,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2011",82.5999999999999,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2012",88.1999999999999,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2013",91.7499999999999,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2014",94.2499999999999,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2016",107.025,
"NOR","HOUSECOST","NOMINAL","IDX2015","A","2017",112.350000002717,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1978",73.0997095890178,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1979",72.7265675026277,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1980",71.1357831136252,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1981",67.6969854289338,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1982",66.61563162135,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1983",65.0272136789112,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1984",67.6690396334071,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1985",75.9401874073835,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1986",91.664373179808,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1987",92.0046603107746,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1988",90.1734118311427,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1989",79.3249819465009,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1990",69.0803322724486,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1991",60.814056540368,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1992",54.5034988038777,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1993",51.8972770277288,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1994",57.0937852698539,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1995",58.5428344165085,
"NOR","HOUSECOST","PRICEINCOME","IDX2015","A","1996",60.9417818080349,
