"Date","Price","Open","High","Low","Change %"
"Dec 07, 2018","2.614","2.629","2.629","2.614","-0.08%"
"Dec 06, 2018","2.616","2.600","2.621","2.600","-0.87%"
"Dec 05, 2018","2.639","2.667","2.667","2.639","-0.90%"
"Dec 04, 2018","2.663","2.670","2.676","2.663","0.49%"
"Dec 03, 2018","2.650","2.660","2.660","2.650","0.19%"
"Nov 30, 2018","2.645","2.654","2.656","2.645","-0.04%"
"Nov 29, 2018","2.646","2.665","2.665","2.646","-0.53%"
"Nov 28, 2018","2.660","2.696","2.696","2.660","-0.97%"
"Nov 27, 2018","2.686","2.696","2.696","2.686","0.00%"
"Nov 26, 2018","2.686","2.690","2.696","2.686","0.71%"
"Nov 23, 2018","2.667","2.682","2.682","2.667","-1.00%"
"Nov 22, 2018","2.694","2.719","2.719","2.694","-0.22%"
"Nov 21, 2018","2.700","2.700","2.706","2.700","-0.92%"
"Nov 20, 2018","2.725","2.723","2.725","2.723","0.70%"
"Nov 19, 2018","2.706","2.750","2.750","2.706","7.17%"
"Nov 16, 2018","2.525","2.601","2.601","2.525","-0.51%"
"Nov 15, 2018","2.538","2.621","2.621","2.537","-2.27%"
"Nov 14, 2018","2.597","2.635","2.635","2.580","-0.76%"
"Nov 13, 2018","2.617","2.690","2.690","2.617","-1.73%"
"Nov 12, 2018","2.663","2.690","2.690","2.643","-0.93%"
"Nov 09, 2018","2.688","2.723","2.745","2.688","-1.10%"
"Nov 08, 2018","2.718","2.815","2.815","2.717","-1.38%"
"Nov 07, 2018","2.756","2.815","2.815","2.756","-0.86%"
"Nov 06, 2018","2.780","2.805","2.813","2.780","-0.64%"
"Nov 05, 2018","2.798","2.850","2.850","2.798","0.29%"
"Nov 04, 2018","2.790","2.790","2.790","2.790","0.00%"
"Nov 03, 2018","2.790","2.813","2.813","2.790","-0.82%"
"Nov 02, 2018","2.813","2.840","2.840","2.813","-0.14%"
"Nov 01, 2018","2.817","2.850","2.850","2.817","-0.70%"
"Oct 31, 2018","2.837","2.849","2.860","2.835","-0.42%"
"Oct 30, 2018","2.849","2.873","2.880","2.825","-0.28%"
"Oct 29, 2018","2.857","2.850","2.870","2.845","0.00%"
"Oct 26, 2018","2.857","2.897","2.897","2.850","-0.80%"
"Oct 25, 2018","2.880","2.865","2.890","2.865","0.00%"
"Oct 24, 2018","2.880","2.926","2.926","2.875","-1.06%"
"Oct 23, 2018","2.911","2.950","2.950","2.900","0.28%"
"Oct 22, 2018","2.903","2.900","2.923","2.898","0.69%"
"Oct 19, 2018","2.883","2.910","2.910","2.875","-0.24%"
"Oct 18, 2018","2.890","2.885","2.893","2.882","0.63%"
"Oct 17, 2018","2.872","2.897","2.897","2.868","0.28%"
"Oct 16, 2018","2.864","2.910","2.910","2.861","-0.38%"
"Oct 15, 2018","2.875","2.870","2.930","2.865","-0.17%"
"Oct 12, 2018","2.880","2.927","2.927","2.875","-1.10%"
"Oct 11, 2018","2.912","2.937","2.937","2.900","-0.10%"
"Oct 10, 2018","2.915","2.941","2.965","2.915","-0.92%"
"Oct 09, 2018","2.942","2.951","2.958","2.941","-0.10%"
"Oct 08, 2018","2.945","2.960","2.961","2.945","-1.17%"
"Sep 30, 2018","2.980","2.990","2.990","2.980","-0.10%"
"Sep 29, 2018","2.983","2.991","2.997","2.975","-0.27%"
"Sep 28, 2018","2.991","3.002","3.009","2.991","-0.03%"
"Sep 27, 2018","2.992","3.002","3.016","2.988","-0.17%"
"Sep 26, 2018","2.997","3.006","3.014","2.995","0.00%"
"Sep 25, 2018","2.997","3.020","3.020","2.992","-0.17%"
"Sep 21, 2018","3.002","2.975","3.012","2.975","0.77%"
"Sep 20, 2018","2.979","2.933","2.980","2.933","1.57%"
"Sep 19, 2018","2.933","2.899","2.955","2.890","1.17%"
"Sep 18, 2018","2.899","2.888","2.899","2.873","0.31%"
"Sep 17, 2018","2.890","2.900","2.900","2.875","1.58%"
"Sep 14, 2018","2.845","2.867","2.867","2.845","-0.52%"
"Sep 13, 2018","2.860","2.885","2.885","2.860","0.21%"
"Sep 12, 2018","2.854","2.859","2.859","2.845","0.00%"
"Sep 11, 2018","2.854","2.865","2.869","2.854","0.18%"
"Sep 10, 2018","2.849","2.880","2.880","2.849","0.71%"
"Sep 07, 2018","2.829","2.843","2.843","2.825","0.18%"
"Sep 06, 2018","2.824","2.831","2.831","2.812","0.25%"
"Sep 05, 2018","2.817","2.850","2.850","2.817","-0.70%"
"Sep 04, 2018","2.837","2.849","2.850","2.837","0.11%"
"Sep 03, 2018","2.834","2.880","2.880","2.825","-0.07%"
"Aug 31, 2018","2.836","2.842","2.845","2.836","0.85%"
"Aug 30, 2018","2.812","2.825","2.825","2.809","-0.18%"
"Aug 29, 2018","2.817","2.860","2.860","2.817","-1.16%"
"Aug 28, 2018","2.850","2.836","2.857","2.836","0.81%"
"Aug 27, 2018","2.827","2.900","2.900","2.827","-0.28%"
"Aug 24, 2018","2.835","2.898","2.899","2.835","-1.87%"
"Aug 23, 2018","2.889","2.937","2.937","2.874","-0.86%"
"Aug 22, 2018","2.914","2.953","2.953","2.914","-0.17%"
"Aug 21, 2018","2.919","2.921","2.935","2.912","0.76%"
"Aug 20, 2018","2.897","2.900","2.901","2.897","1.19%"
"Aug 17, 2018","2.863","2.880","2.880","2.863","0.46%"
"Aug 16, 2018","2.850","2.850","2.867","2.840","0.42%"
"Aug 15, 2018","2.838","2.870","2.870","2.838","-0.07%"
"Aug 14, 2018","2.840","2.815","2.867","2.815","1.57%"
"Aug 13, 2018","2.796","2.830","2.830","2.765","0.58%"
"Aug 10, 2018","2.780","2.736","2.780","2.736","3.58%"
"Aug 09, 2018","2.684","2.667","2.706","2.667","1.74%"
"Aug 08, 2018","2.638","2.680","2.680","2.623","-1.38%"
"Aug 07, 2018","2.675","2.760","2.760","2.657","-1.18%"
"Aug 06, 2018","2.707","2.850","2.850","2.703","-3.25%"
"Aug 03, 2018","2.798","2.828","2.828","2.780","-0.43%"
"Aug 02, 2018","2.810","2.893","2.893","2.782","-1.51%"
"Aug 01, 2018","2.853","2.885","2.893","2.847","-1.38%"
"Jul 31, 2018","2.893","2.930","2.930","2.893","-0.75%"
"Jul 30, 2018","2.915","3.000","3.000","2.895","-3.25%"
"Jul 27, 2018","3.013","3.030","3.030","2.950","-0.33%"
"Jul 26, 2018","3.023","3.063","3.063","3.023","-1.21%"
"Jul 25, 2018","3.060","3.100","3.100","3.057","-0.75%"
"Jul 24, 2018","3.083","3.100","3.100","3.083","0.16%"
"Jul 23, 2018","3.078","3.130","3.130","3.078","-0.06%"
"Jul 20, 2018","3.080","3.127","3.127","3.040","0.16%"
"Jul 19, 2018","3.075","3.104","3.104","3.075","-0.10%"
"Jul 18, 2018","3.078","3.075","3.084","3.069","0.62%"
"Jul 17, 2018","3.059","3.102","3.102","3.059","-0.46%"
"Jul 16, 2018","3.073","3.150","3.150","3.060","-0.23%"
"Jul 13, 2018","3.080","3.148","3.148","3.080","-0.45%"
"Jul 12, 2018","3.094","3.137","3.137","3.090","-0.29%"
"Jul 11, 2018","3.103","3.095","3.107","3.095","0.65%"
"Jul 10, 2018","3.083","3.085","3.095","3.083","1.08%"
"Jul 09, 2018","3.050","3.060","3.065","3.040","-0.42%"
"Jul 06, 2018","3.063","3.120","3.120","3.045","-0.78%"
"Jul 05, 2018","3.087","3.119","3.119","3.079","-0.87%"
"Jul 04, 2018","3.114","3.129","3.136","3.114","-1.27%"
"Jul 03, 2018","3.154","3.208","3.208","3.154","-0.44%"
"Jul 02, 2018","3.168","3.250","3.250","3.168","-1.31%"
"Jun 29, 2018","3.210","3.307","3.307","3.210","-2.28%"
"Jun 28, 2018","3.285","3.297","3.297","3.285","0.21%"
"Jun 27, 2018","3.278","3.307","3.307","3.278","-0.21%"
"Jun 26, 2018","3.285","3.300","3.300","3.285","-0.36%"
"Jun 25, 2018","3.297","3.290","3.297","3.273","0.30%"
"Jun 22, 2018","3.287","3.290","3.305","3.276","0.00%"
"Jun 21, 2018","3.287","3.262","3.300","3.262","0.89%"
"Jun 20, 2018","3.258","3.255","3.261","3.244","0.56%"
"Jun 19, 2018","3.240","3.300","3.300","3.240","-0.09%"
"Jun 15, 2018","3.243","3.280","3.280","3.237","0.09%"
"Jun 14, 2018","3.240","3.272","3.272","3.240","-0.52%"
"Jun 13, 2018","3.257","3.257","3.266","3.256","0.59%"
"Jun 12, 2018","3.238","3.246","3.246","3.232","0.28%"
"Jun 11, 2018","3.229","3.220","3.239","3.220","-0.40%"
"Jun 08, 2018","3.242","3.238","3.250","3.238","0.43%"
"Jun 07, 2018","3.228","3.224","3.250","3.217","0.65%"
"Jun 06, 2018","3.207","3.223","3.223","3.207","0.38%"
"Jun 05, 2018","3.195","3.207","3.207","3.187","0.16%"
"Jun 04, 2018","3.190","3.250","3.250","3.187","0.31%"
"Jun 01, 2018","3.180","3.195","3.195","3.177","-0.16%"
"May 31, 2018","3.185","3.184","3.195","3.184","0.25%"
"May 30, 2018","3.177","3.173","3.183","3.167","0.13%"
"May 29, 2018","3.173","3.163","3.195","3.163","0.41%"
"May 28, 2018","3.160","3.190","3.190","3.150","0.00%"
"May 27, 2018","3.160","3.160","3.160","3.160","0.16%"
"May 26, 2018","3.155","3.155","3.155","3.155","0.00%"
"May 25, 2018","3.155","3.165","3.165","3.145","2.44%"
"May 24, 2018","3.080","3.077","3.094","3.073","0.75%"
"May 23, 2018","3.057","3.061","3.070","3.057","0.30%"
"May 22, 2018","3.048","3.078","3.078","3.047","-0.26%"
"May 21, 2018","3.056","3.100","3.130","3.056","0.69%"
"May 20, 2018","3.035","3.035","3.035","3.035","0.00%"
"May 18, 2018","3.035","3.077","3.077","3.030","-0.33%"
"May 17, 2018","3.045","3.036","3.045","3.016","2.04%"
"May 16, 2018","2.984","2.967","2.995","2.967","1.12%"
"May 15, 2018","2.951","2.959","2.976","2.949","0.99%"
"May 14, 2018","2.922","3.000","3.000","2.900","0.52%"
"May 11, 2018","2.907","2.959","2.959","2.900","0.00%"
"May 10, 2018","2.907","2.965","2.965","2.906","0.00%"
"May 09, 2018","2.907","2.970","2.970","2.907","-0.21%"
"May 08, 2018","2.913","2.957","2.957","2.905","0.00%"
"May 07, 2018","2.913","3.000","3.000","2.910","-1.15%"
"May 04, 2018","2.947","3.039","3.039","2.930","-1.73%"
"May 03, 2018","2.999","3.029","3.029","2.992","-0.13%"
"May 02, 2018","3.003","3.067","3.067","3.003","-0.13%"
"Apr 28, 2018","3.007","3.075","3.075","3.000","-0.92%"
"Apr 27, 2018","3.035","3.040","3.040","3.013","0.93%"
"Apr 26, 2018","3.007","3.020","3.035","3.007","-0.10%"
"Apr 25, 2018","3.010","3.005","3.023","3.005","0.23%"
"Apr 24, 2018","3.003","3.015","3.023","3.000","0.54%"
"Apr 23, 2018","2.987","3.050","3.050","2.987","-0.27%"
"Apr 20, 2018","2.995","3.000","3.000","2.995","1.29%"
"Apr 19, 2018","2.957","3.000","3.000","2.957","-4.30%"
"Apr 18, 2018","3.090","3.140","3.180","3.050","-3.04%"
"Apr 17, 2018","3.187","3.228","3.228","3.183","-0.96%"
"Apr 16, 2018","3.218","3.230","3.235","3.211","-0.92%"
"Apr 13, 2018","3.248","3.290","3.300","3.220","0.15%"
"Apr 12, 2018","3.243","3.297","3.300","3.243","-0.67%"
"Apr 11, 2018","3.265","3.285","3.287","3.265","0.15%"
"Apr 10, 2018","3.260","3.325","3.325","3.260","-1.12%"
"Apr 09, 2018","3.297","3.350","3.380","3.297","-0.09%"
"Apr 08, 2018","3.300","3.310","3.350","3.300","-0.30%"
"Apr 07, 2018","3.310","3.310","3.310","3.310","0.00%"
"Apr 06, 2018","3.310","3.310","3.310","3.310","0.46%"
"Apr 04, 2018","3.295","3.350","3.350","3.280","-0.09%"
"Apr 03, 2018","3.298","3.400","3.400","3.295","-0.81%"
"Apr 02, 2018","3.325","3.420","3.420","3.325","-0.75%"
"Mar 30, 2018","3.350","3.385","3.385","3.330","0.21%"
"Mar 29, 2018","3.343","3.350","3.355","3.330","0.15%"
"Mar 28, 2018","3.338","3.342","3.353","3.337","0.18%"
"Mar 27, 2018","3.332","3.300","3.332","3.285","1.68%"
"Mar 26, 2018","3.277","3.300","3.300","3.270","0.06%"
"Mar 23, 2018","3.275","3.270","3.288","3.270","0.37%"
"Mar 22, 2018","3.263","3.300","3.300","3.263","-1.51%"
