"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 08, 2018","23.869","24.999","26.667","23.865","6.15M","-4.51%"
"Dec 07, 2018","24.998","26.728","26.890","22.362","6.64M","-6.50%"
"Dec 06, 2018","26.735","29.263","30.473","26.367","4.30M","-8.63%"
"Dec 05, 2018","29.261","31.169","31.539","29.228","3.04M","-6.00%"
"Dec 04, 2018","31.129","31.016","32.256","30.093","2.82M","0.41%"
"Dec 03, 2018","31.002","33.774","60.670","30.152","3.92M","-8.20%"
"Dec 02, 2018","33.772","34.205","35.181","33.185","3.52M","-1.29%"
"Dec 01, 2018","34.212","32.182","35.099","31.412","3.33M","6.16%"
"Nov 30, 2018","32.228","33.869","34.494","31.335","3.16M","-4.84%"
"Nov 29, 2018","33.867","34.714","35.730","33.238","3.82M","-2.42%"
"Nov 28, 2018","34.708","31.570","36.305","30.981","4.23M","9.98%"
"Nov 27, 2018","31.558","30.078","32.006","28.795","3.89M","4.92%"
"Nov 26, 2018","30.078","31.422","32.674","28.729","5.29M","-4.35%"
"Nov 25, 2018","31.447","29.675","32.645","27.669","6.72M","5.97%"
"Nov 24, 2018","29.675","32.710","33.978","29.113","4.48M","-9.28%"
"Nov 23, 2018","32.710","32.166","33.744","31.175","5.62M","1.70%"
"Nov 22, 2018","32.164","35.055","35.535","32.107","5.26M","-8.24%"
"Nov 21, 2018","35.052","33.736","35.173","32.213","5.04M","3.92%"
"Nov 20, 2018","33.731","36.979","38.736","31.450","6.70M","-8.78%"
"Nov 19, 2018","36.978","43.150","43.236","35.908","4.96M","-14.30%"
"Nov 18, 2018","43.150","42.387","44.127","41.174","1.74M","1.81%"
"Nov 17, 2018","42.383","42.798","42.840","41.423","1.37M","-0.96%"
"Nov 16, 2018","42.792","44.616","44.655","41.867","2.05M","-4.08%"
"Nov 15, 2018","44.612","44.627","45.201","40.949","3.96M","0.00%"
"Nov 14, 2018","44.610","50.370","51.267","41.481","3.86M","-11.44%"
"Nov 13, 2018","50.370","50.764","51.599","49.726","2.16M","-0.77%"
"Nov 12, 2018","50.763","50.555","51.903","49.825","2.47M","0.44%"
"Nov 11, 2018","50.541","52.475","52.562","49.000","1.83M","-3.69%"
"Nov 10, 2018","52.477","52.199","52.922","50.619","1.15M","0.73%"
"Nov 09, 2018","52.095","52.655","53.047","48.978","1.46M","-1.06%"
"Nov 08, 2018","52.655","54.442","54.916","52.406","1.69M","-3.28%"
"Nov 07, 2018","54.441","56.406","56.805","53.128","1.93M","-3.48%"
"Nov 06, 2018","56.401","53.567","56.477","51.256","1.69M","5.28%"
"Nov 05, 2018","53.570","54.572","55.129","52.940","2.02M","-1.84%"
"Nov 04, 2018","54.573","51.115","56.253","48.437","2.28M","6.76%"
"Nov 03, 2018","51.117","51.724","51.791","50.434","1.82M","-1.16%"
"Nov 02, 2018","51.716","50.595","52.113","48.241","2.28M","2.21%"
"Nov 01, 2018","50.596","49.952","50.781","49.851","2.05M","1.31%"
"Oct 31, 2018","49.943","49.317","50.652","48.209","2.51M","1.28%"
"Oct 30, 2018","49.314","49.307","50.071","48.915","1.52M","0.00%"
"Oct 29, 2018","49.314","51.958","52.501","48.161","2.71M","-5.14%"
"Oct 28, 2018","51.984","52.363","52.465","51.811","2.46M","-0.73%"
"Oct 27, 2018","52.364","52.608","53.202","51.994","2.19M","-0.46%"
"Oct 26, 2018","52.607","53.003","53.447","52.382","2.57M","-0.75%"
"Oct 25, 2018","53.003","53.094","53.293","52.677","2.10M","-0.16%"
"Oct 24, 2018","53.088","53.325","53.933","52.894","2.91M","-0.44%"
"Oct 23, 2018","53.320","53.122","54.694","50.648","2.47M","0.41%"
"Oct 22, 2018","53.105","53.686","54.176","52.780","2.24M","-1.15%"
"Oct 21, 2018","53.721","54.233","54.751","53.476","2.40M","-0.94%"
"Oct 20, 2018","54.231","53.632","54.866","53.336","2.04M","1.11%"
"Oct 19, 2018","53.638","53.431","54.470","52.965","2.19M","0.40%"
"Oct 18, 2018","53.426","55.484","55.706","52.819","2.30M","-3.71%"
"Oct 17, 2018","55.484","55.416","55.571","54.339","1.96M","0.14%"
"Oct 16, 2018","55.408","55.950","56.809","54.619","1.86M","-0.97%"
"Oct 15, 2018","55.951","52.545","61.175","52.233","3.21M","6.48%"
"Oct 14, 2018","52.545","54.063","54.499","51.838","2.13M","-2.80%"
"Oct 13, 2018","54.059","53.806","54.926","53.551","1.71M","0.47%"
"Oct 12, 2018","53.806","51.263","54.149","50.968","2.17M","4.99%"
"Oct 11, 2018","51.248","58.334","58.373","49.426","3.18M","-12.21%"
"Oct 10, 2018","58.374","58.968","59.086","57.551","2.68M","-1.01%"
"Oct 09, 2018","58.968","59.655","59.887","58.523","2.23M","-1.15%"
"Oct 08, 2018","59.655","58.274","60.163","57.693","2.26M","2.37%"
"Oct 07, 2018","58.273","57.951","58.533","56.986","1.50M","0.56%"
"Oct 06, 2018","57.951","59.065","59.169","56.692","4.73M","-1.78%"
"Oct 05, 2018","59.001","58.410","59.820","57.672","4.63M","1.01%"
"Oct 04, 2018","58.411","57.562","60.079","57.457","3.26M","1.51%"
"Oct 03, 2018","57.541","59.606","59.704","56.745","4.78M","-3.46%"
"Oct 02, 2018","59.606","60.392","61.835","59.231","4.43M","-1.32%"
"Oct 01, 2018","60.401","61.225","62.137","59.472","4.48M","-1.34%"
"Sep 30, 2018","61.224","61.703","63.035","59.810","4.32M","-0.78%"
"Sep 29, 2018","61.703","61.943","62.324","59.080","3.26M","-0.39%"
"Sep 28, 2018","61.947","63.275","64.897","60.336","3.75M","-2.09%"
"Sep 27, 2018","63.267","57.257","65.486","56.747","4.57M","10.49%"
"Sep 26, 2018","57.259","57.573","59.838","56.583","2.67M","-0.52%"
"Sep 25, 2018","57.559","57.982","58.082","54.430","2.92M","-0.73%"
"Sep 24, 2018","57.982","61.408","61.540","57.218","2.93M","-5.58%"
"Sep 23, 2018","61.409","60.628","63.701","59.961","2.98M","1.29%"
"Sep 22, 2018","60.628","60.917","61.869","58.081","3.12M","-0.50%"
"Sep 21, 2018","60.934","56.554","62.610","56.494","3.22M","7.74%"
"Sep 20, 2018","56.554","54.320","57.165","53.436","2.29M","4.11%"
"Sep 19, 2018","54.321","54.079","54.969","51.738","3.04M","0.44%"
"Sep 18, 2018","54.085","52.118","55.417","50.625","3.45M","3.78%"
"Sep 17, 2018","52.115","56.756","57.807","51.489","3.49M","-8.18%"
"Sep 16, 2018","56.756","56.429","57.488","54.595","3.48M","0.58%"
"Sep 15, 2018","56.429","56.259","58.738","55.743","3.15M","0.28%"
"Sep 14, 2018","56.270","54.502","58.873","52.955","3.82M","3.24%"
"Sep 13, 2018","54.506","51.719","55.274","51.718","4.23M","5.42%"
"Sep 12, 2018","51.704","52.053","52.118","47.344","3.89M","-0.67%"
"Sep 11, 2018","52.052","54.380","54.746","50.166","3.63M","-4.28%"
