"Date","Price","Open","High","Low","Change %"
"Jun 06, 2018","0.1237","0.1234","0.1240","0.1231","0.32%"
"Jun 05, 2018","0.1233","0.1231","0.1236","0.1226","0.16%"
"Jun 04, 2018","0.1231","0.1221","0.1236","0.1221","0.77%"
"Jun 03, 2018","0.1222","0.1222","0.1223","0.1221","0.00%"
"Jun 01, 2018","0.1222","0.1222","0.1229","0.1218","0.00%"
"May 31, 2018","0.1222","0.1222","0.1229","0.1221","0.00%"
"May 30, 2018","0.1222","0.1207","0.1225","0.1203","1.24%"
"May 29, 2018","0.1207","0.1221","0.1221","0.1201","-1.15%"
"May 28, 2018","0.1221","0.1226","0.1231","0.1220","-0.43%"
"May 27, 2018","0.1226","0.1223","0.1227","0.1223","0.19%"
"May 25, 2018","0.1224","0.1234","0.1238","0.1222","-0.89%"
"May 24, 2018","0.1235","0.1235","0.1240","0.1234","0.00%"
"May 23, 2018","0.1235","0.1240","0.1242","0.1227","-0.40%"
"May 22, 2018","0.1240","0.1242","0.1246","0.1239","-0.16%"
"May 21, 2018","0.1242","0.1231","0.1244","0.1230","0.81%"
"May 18, 2018","0.1232","0.1231","0.1235","0.1227","0.08%"
"May 17, 2018","0.1231","0.1237","0.1241","0.1230","-0.49%"
"May 16, 2018","0.1237","0.1231","0.1239","0.1230","0.49%"
"May 15, 2018","0.1231","0.1245","0.1250","0.1229","-1.12%"
"May 14, 2018","0.1245","0.1249","0.1256","0.1244","-0.40%"
"May 11, 2018","0.1250","0.1249","0.1254","0.1247","0.00%"
"May 10, 2018","0.1250","0.1239","0.1253","0.1237","0.89%"
"May 09, 2018","0.1239","0.1229","0.1242","0.1226","0.81%"
"May 08, 2018","0.1229","0.1240","0.1242","0.1225","-0.81%"
"May 07, 2018","0.1239","0.1241","0.1245","0.1236","-0.16%"
"May 04, 2018","0.1241","0.1242","0.1244","0.1235","-0.08%"
"May 03, 2018","0.1242","0.1231","0.1245","0.1231","0.89%"
"May 02, 2018","0.1231","0.1236","0.1242","0.1231","-0.40%"
"May 01, 2018","0.1236","0.1249","0.1250","0.1235","-0.88%"
"Apr 30, 2018","0.1247","0.1257","0.1258","0.1245","-0.80%"
"Apr 27, 2018","0.1257","0.1250","0.1258","0.1245","0.48%"
"Apr 26, 2018","0.1251","0.1254","0.1260","0.1249","-0.32%"
"Apr 25, 2018","0.1255","0.1265","0.1267","0.1253","-0.79%"
"Apr 24, 2018","0.1265","0.1268","0.1270","0.1263","-0.24%"
"Apr 23, 2018","0.1268","0.1278","0.1278","0.1266","-0.78%"
"Apr 20, 2018","0.1278","0.1283","0.1285","0.1275","-0.39%"
"Apr 19, 2018","0.1283","0.1288","0.1293","0.1281","-0.39%"
"Apr 18, 2018","0.1288","0.1288","0.1293","0.1285","0.00%"
"Apr 17, 2018","0.1288","0.1286","0.1290","0.1285","0.16%"
"Apr 16, 2018","0.1286","0.1286","0.1291","0.1283","0.00%"
"Apr 13, 2018","0.1286","0.1288","0.1290","0.1285","-0.08%"
"Apr 12, 2018","0.1287","0.1288","0.1290","0.1280","-0.08%"
"Apr 11, 2018","0.1288","0.1283","0.1291","0.1281","0.39%"
"Apr 10, 2018","0.1283","0.1285","0.1288","0.1278","-0.16%"
"Apr 09, 2018","0.1285","0.1278","0.1288","0.1275","0.55%"
"Apr 06, 2018","0.1278","0.1278","0.1281","0.1272","0.08%"
"Apr 05, 2018","0.1277","0.1278","0.1283","0.1273","-0.08%"
"Apr 04, 2018","0.1278","0.1276","0.1281","0.1272","0.16%"
"Apr 03, 2018","0.1276","0.1267","0.1279","0.1266","0.63%"
"Apr 02, 2018","0.1268","0.1275","0.1277","0.1266","-0.39%"
