"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 07, 2018","7,733.89","7,741.73","7,765.14","7,712.27","6.34B","-0.01%"
"Dec 06, 2018","7,735.05","7,854.59","7,872.45","7,725.99","8.41B","-2.44%"
"Dec 05, 2018","7,928.51","7,825.12","7,972.98","7,808.74","8.98B","-0.32%"
"Dec 04, 2018","7,953.72","7,916.55","7,954.31","7,890.66","8.66B","0.19%"
"Dec 03, 2018","7,938.47","7,901.83","7,968.09","7,835.23","12.06B","3.34%"
"Nov 30, 2018","7,681.75","7,583.84","7,688.88","7,537.92","7.72B","1.12%"
"Nov 29, 2018","7,597.01","7,800.57","7,820.45","7,597.01","9.10B","-2.06%"
"Nov 28, 2018","7,757.07","7,633.37","7,757.07","7,572.65","9.17B","1.60%"
"Nov 27, 2018","7,635.16","7,657.80","7,682.76","7,589.00","6.95B","0.25%"
"Nov 26, 2018","7,615.91","7,627.40","7,682.20","7,586.60","7.07B","-0.27%"
"Nov 23, 2018","7,636.70","7,882.85","7,889.13","7,616.47","10.71B","-3.26%"
"Nov 22, 2018","7,893.99","7,929.79","7,950.97","7,857.81","8.82B","-0.18%"
"Nov 21, 2018","7,908.47","7,786.78","7,919.07","7,776.56","10.15B","0.37%"
"Nov 20, 2018","7,879.52","8,031.36","8,054.24","7,870.41","12.47B","-2.83%"
"Nov 19, 2018","8,108.85","8,050.55","8,108.85","8,014.57","12.73B","0.58%"
"Nov 16, 2018","8,062.29","8,003.47","8,116.73","7,959.14","13.77B","0.75%"
"Nov 15, 2018","8,002.10","7,889.92","8,002.10","7,884.34","11.53B","1.18%"
"Nov 14, 2018","7,908.55","7,942.08","7,990.45","7,894.21","12.76B","-0.69%"
"Nov 13, 2018","7,963.66","7,733.11","8,008.11","7,718.68","15.60B","1.68%"
"Nov 12, 2018","7,832.29","7,634.82","7,832.82","7,622.47","10.73B","2.40%"
"Nov 09, 2018","7,648.55","7,650.17","7,705.26","7,626.17","8.28B","-0.64%"
"Nov 08, 2018","7,698.02","7,813.63","7,823.60","7,692.34","8.45B","-0.70%"
"Nov 07, 2018","7,752.04","7,783.13","7,871.17","7,745.39","9.67B","-0.50%"
"Nov 06, 2018","7,791.25","7,807.09","7,807.09","7,701.51","8.86B","-0.61%"
"Nov 05, 2018","7,839.08","7,831.82","7,895.54","7,733.14","11.31B","-0.36%"
"Nov 02, 2018","7,867.54","7,763.49","7,867.54","7,709.44","13.05B","3.96%"
"Nov 01, 2018","7,567.79","7,568.20","7,689.57","7,558.40","11.35B","1.14%"
"Oct 31, 2018","7,482.83","7,385.98","7,526.60","7,373.75","8.82B","1.46%"
"Oct 30, 2018","7,375.23","7,271.96","7,451.66","7,189.35","9.47B","0.72%"
"Oct 29, 2018","7,322.24","7,449.64","7,450.38","7,290.82","7.43B","-2.43%"
"Oct 26, 2018","7,504.72","7,582.77","7,621.38","7,476.13","8.73B","-0.33%"
"Oct 25, 2018","7,529.41","7,334.52","7,543.11","7,305.77","8.98B","-0.21%"
"Oct 24, 2018","7,545.11","7,531.60","7,653.24","7,484.63","8.47B","-0.39%"
"Oct 23, 2018","7,574.99","7,752.18","7,769.52","7,523.07","10.16B","-2.24%"
"Oct 22, 2018","7,748.82","7,464.92","7,816.82","7,464.92","12.65B","4.89%"
"Oct 19, 2018","7,387.74","7,097.04","7,390.92","7,084.44","9.08B","2.79%"
"Oct 18, 2018","7,187.49","7,309.00","7,316.19","7,182.39","7.42B","-2.41%"
"Oct 17, 2018","7,365.21","7,390.69","7,419.21","7,206.34","8.12B","0.91%"
"Oct 16, 2018","7,298.98","7,444.94","7,493.15","7,263.29","7.30B","-1.95%"
"Oct 15, 2018","7,444.48","7,571.71","7,622.03","7,430.96","7.26B","-1.51%"
"Oct 12, 2018","7,558.28","7,484.86","7,595.93","7,331.81","9.85B","0.45%"
"Oct 11, 2018","7,524.09","7,753.03","7,803.29","7,481.89","11.20B","-6.07%"
"Oct 10, 2018","8,010.69","8,062.46","8,090.22","7,952.13","6.15B","-0.44%"
"Oct 09, 2018","8,046.39","8,083.23","8,132.15","8,013.19","5.91B","-0.18%"
"Oct 08, 2018","8,060.83","8,225.84","8,249.39","8,055.98","7.74B","-4.05%"
"Sep 28, 2018","8,401.09","8,351.63","8,405.98","8,317.48","6.81B","0.80%"
"Sep 27, 2018","8,334.75","8,411.18","8,434.87","8,331.78","7.80B","-1.02%"
"Sep 26, 2018","8,420.54","8,369.52","8,485.68","8,344.72","8.33B","0.80%"
"Sep 25, 2018","8,353.38","8,336.75","8,390.65","8,311.93","6.40B","-0.66%"
"Sep 21, 2018","8,409.18","8,258.02","8,419.47","8,216.68","8.79B","2.13%"
"Sep 20, 2018","8,233.89","8,241.70","8,295.13","8,218.38","7.09B","-0.17%"
"Sep 19, 2018","8,248.12","8,111.24","8,313.62","8,097.23","8.90B","1.41%"
"Sep 18, 2018","8,133.22","7,970.45","8,133.90","7,958.52","7.12B","1.67%"
"Sep 17, 2018","7,999.35","8,068.06","8,074.79","7,977.44","6.36B","-1.41%"
"Sep 14, 2018","8,113.88","8,173.56","8,180.70","8,090.40","7.35B","-0.61%"
"Sep 13, 2018","8,163.76","8,196.21","8,227.20","8,038.12","7.40B","0.65%"
"Sep 12, 2018","8,111.16","8,162.17","8,196.86","8,095.01","5.73B","-0.70%"
"Sep 11, 2018","8,168.10","8,155.95","8,216.62","8,112.00","6.19B","0.12%"
"Sep 10, 2018","8,158.49","8,310.46","8,311.91","8,155.35","7.10B","-1.97%"
"Sep 07, 2018","8,322.36","8,344.57","8,462.39","8,270.40","7.34B","-0.02%"
"Sep 06, 2018","8,324.16","8,369.30","8,450.89","8,295.48","6.55B","-0.93%"
"Sep 05, 2018","8,402.51","8,519.57","8,536.84","8,402.51","7.89B","-1.78%"
"Sep 04, 2018","8,554.44","8,454.14","8,573.20","8,420.88","7.86B","1.17%"
"Sep 03, 2018","8,455.55","8,440.95","8,459.95","8,344.93","7.21B","-0.12%"
"Aug 31, 2018","8,465.47","8,509.27","8,536.06","8,425.35","6.62B","-1.02%"
"Aug 30, 2018","8,552.80","8,666.90","8,701.04","8,543.79","7.64B","-1.45%"
"Aug 29, 2018","8,678.26","8,716.82","8,724.81","8,649.73","7.47B","-0.64%"
"Aug 28, 2018","8,733.75","8,731.64","8,758.71","8,693.52","7.46B","0.06%"
"Aug 27, 2018","8,728.56","8,511.37","8,728.56","8,511.37","8.56B","2.87%"
"Aug 24, 2018","8,484.74","8,480.22","8,544.25","8,438.08","6.13B","-0.20%"
"Aug 23, 2018","8,501.39","8,446.98","8,543.42","8,411.74","6.61B","0.55%"
"Aug 22, 2018","8,454.75","8,533.43","8,533.43","8,440.58","5.68B","-1.10%"
"Aug 21, 2018","8,549.06","8,419.79","8,561.79","8,396.58","7.13B","1.60%"
"Aug 20, 2018","8,414.15","8,355.00","8,414.15","8,241.14","7.14B","0.68%"
"Aug 17, 2018","8,357.04","8,573.57","8,597.79","8,341.10","6.87B","-1.69%"
"Aug 16, 2018","8,500.42","8,470.91","8,628.91","8,408.00","7.09B","-0.94%"
"Aug 15, 2018","8,581.18","8,786.35","8,786.35","8,567.23","7.13B","-2.32%"
"Aug 14, 2018","8,784.90","8,832.27","8,843.57","8,752.76","6.41B","-0.68%"
"Aug 13, 2018","8,844.86","8,712.12","8,855.62","8,676.21","7.52B","0.36%"
"Aug 10, 2018","8,813.49","8,752.94","8,839.29","8,742.40","7.02B","0.70%"
"Aug 09, 2018","8,752.20","8,475.79","8,797.58","8,460.43","9.35B","2.98%"
"Aug 08, 2018","8,499.22","8,654.55","8,665.39","8,498.21","7.23B","-2.02%"
"Aug 07, 2018","8,674.03","8,453.55","8,674.03","8,379.70","7.79B","2.98%"
"Aug 06, 2018","8,422.84","8,582.43","8,638.37","8,374.40","7.04B","-2.08%"
"Aug 03, 2018","8,602.12","8,767.56","8,807.95","8,602.12","6.72B","-2.03%"
"Aug 02, 2018","8,780.56","8,971.71","8,971.71","8,613.84","9.87B","-2.50%"
"Aug 01, 2018","9,005.37","9,205.75","9,235.74","9,005.37","8.06B","-1.89%"
"Jul 31, 2018","9,178.78","9,168.83","9,216.73","9,132.08","6.45B","-0.03%"
"Jul 30, 2018","9,181.94","9,289.36","9,309.44","9,139.74","7.48B","-1.23%"
"Jul 27, 2018","9,295.93","9,344.75","9,363.17","9,270.35","7.47B","-0.60%"
"Jul 26, 2018","9,352.25","9,467.56","9,488.39","9,331.45","9.56B","-1.18%"
"Jul 25, 2018","9,463.76","9,475.72","9,514.94","9,436.99","9.96B","-0.02%"
"Jul 24, 2018","9,465.80","9,316.65","9,491.24","9,313.17","12.29B","1.63%"
"Jul 23, 2018","9,314.30","9,188.47","9,314.30","9,160.05","9.89B","0.68%"
"Jul 20, 2018","9,251.48","9,141.51","9,277.95","9,055.86","8.41B","1.12%"
"Jul 19, 2018","9,148.78","9,214.90","9,266.93","9,116.45","6.91B","-0.51%"
"Jul 18, 2018","9,195.24","9,293.20","9,335.09","9,195.24","7.48B","-0.97%"
"Jul 17, 2018","9,285.16","9,307.66","9,307.66","9,175.66","6.91B","-0.35%"
"Jul 16, 2018","9,317.36","9,322.97","9,366.21","9,278.07","7.45B","-0.10%"
"Jul 13, 2018","9,326.97","9,288.47","9,344.65","9,270.20","8.40B","0.58%"
"Jul 12, 2018","9,273.61","9,019.96","9,312.37","9,019.96","10.22B","2.77%"
"Jul 11, 2018","9,023.82","9,024.72","9,092.88","8,916.98","7.71B","-1.97%"
"Jul 10, 2018","9,205.43","9,176.29","9,213.87","9,123.22","7.01B","0.49%"
"Jul 09, 2018","9,160.62","8,954.31","9,160.62","8,954.31","7.42B","2.80%"
"Jul 06, 2018","8,911.34","8,873.90","9,035.45","8,736.36","8.64B","0.55%"
"Jul 05, 2018","8,862.18","9,036.12","9,096.54","8,844.67","7.32B","-1.92%"
"Jul 04, 2018","9,035.49","9,182.96","9,200.27","9,008.09","7.66B","-2.02%"
"Jul 03, 2018","9,221.54","9,184.31","9,233.02","8,945.42","8.79B","0.45%"
"Jul 02, 2018","9,179.80","9,369.24","9,393.10","9,107.55","7.67B","-2.13%"
"Jun 29, 2018","9,379.47","9,100.60","9,381.02","9,078.24","7.99B","3.39%"
"Jun 28, 2018","9,071.73","9,130.52","9,230.89","9,065.20","6.80B","-1.06%"
"Jun 27, 2018","9,168.66","9,338.01","9,378.08","9,139.82","6.97B","-1.83%"
"Jun 26, 2018","9,339.37","9,201.00","9,364.51","9,175.39","7.55B","0.16%"
"Jun 25, 2018","9,324.83","9,472.91","9,494.44","9,320.66","6.99B","-0.90%"
"Jun 22, 2018","9,409.95","9,247.02","9,416.09","9,172.30","6.94B","1.00%"
"Jun 21, 2018","9,316.68","9,493.50","9,573.49","9,313.09","8.10B","-1.94%"
"Jun 20, 2018","9,501.34","9,367.74","9,549.53","9,310.19","7.75B","0.92%"
"Jun 19, 2018","9,414.76","9,775.97","9,815.01","9,336.70","10.80B","-5.31%"
"Jun 15, 2018","9,943.13","10,077.43","10,108.53","9,902.63","7.22B","-1.40%"
"Jun 14, 2018","10,084.18","10,124.76","10,213.79","10,054.37","5.87B","-0.76%"
"Jun 13, 2018","10,161.65","10,280.08","10,288.00","10,161.39","6.29B","-1.49%"
"Jun 12, 2018","10,315.28","10,187.31","10,323.00","10,124.98","6.44B","1.38%"
"Jun 11, 2018","10,175.35","10,191.31","10,242.76","10,141.27","5.83B","-0.30%"
"Jun 08, 2018","10,205.52","10,290.63","10,291.90","10,136.58","6.85B","-1.05%"
"Jun 07, 2018","10,313.85","10,397.65","10,411.56","10,308.06","6.44B","-0.49%"
"Jun 06, 2018","10,365.13","10,375.26","10,403.93","10,337.71","6.45B","-0.20%"
"Jun 05, 2018","10,385.61","10,216.63","10,385.61","10,216.02","7.20B","1.78%"
"Jun 04, 2018","10,204.32","10,192.04","10,237.60","10,148.69","6.89B","0.34%"
"Jun 01, 2018","10,169.35","10,247.16","10,280.74","10,122.99","7.17B","-1.23%"
"May 31, 2018","10,295.73","10,178.96","10,295.73","10,115.66","8.26B","1.88%"
"May 30, 2018","10,105.79","10,203.66","10,252.15","10,097.48","9.03B","-2.35%"
"May 29, 2018","10,349.07","10,446.99","10,517.14","10,347.94","7.35B","-1.11%"
"May 28, 2018","10,465.54","10,439.65","10,536.57","10,382.72","7.50B","0.17%"
"May 25, 2018","10,448.22","10,550.63","10,576.81","10,435.95","7.78B","-1.10%"
