"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 07, 2018","2,605.89","2,609.34","2,614.58","2,599.28","10.91B","0.03%"
"Dec 06, 2018","2,605.18","2,629.82","2,633.68","2,603.13","14.17B","-1.68%"
"Dec 05, 2018","2,649.81","2,629.83","2,660.39","2,625.91","15.45B","-0.61%"
"Dec 04, 2018","2,665.96","2,651.56","2,666.08","2,644.90","16.79B","0.42%"
"Dec 03, 2018","2,654.80","2,647.13","2,665.30","2,629.18","20.75B","2.57%"
"Nov 30, 2018","2,588.19","2,564.56","2,590.21","2,555.32","13.93B","0.81%"
"Nov 29, 2018","2,567.44","2,613.78","2,617.55","2,567.44","15.72B","-1.32%"
"Nov 28, 2018","2,601.74","2,575.45","2,601.96","2,561.56","14.60B","1.05%"
"Nov 27, 2018","2,574.68","2,585.83","2,592.54","2,566.17","12.37B","-0.04%"
"Nov 26, 2018","2,575.81","2,580.84","2,595.00","2,568.04","13.43B","-0.14%"
"Nov 23, 2018","2,579.48","2,640.67","2,642.04","2,577.35","19.15B","-2.49%"
"Nov 22, 2018","2,645.43","2,655.90","2,658.00","2,634.48","14.93B","-0.23%"
"Nov 21, 2018","2,651.51","2,619.82","2,653.80","2,617.78","18.26B","0.21%"
"Nov 20, 2018","2,645.85","2,684.29","2,690.83","2,643.36","21.59B","-2.13%"
"Nov 19, 2018","2,703.51","2,681.90","2,703.51","2,674.18","23.17B","0.91%"
"Nov 16, 2018","2,679.11","2,669.78","2,695.57","2,657.03","24.22B","0.41%"
"Nov 15, 2018","2,668.17","2,632.14","2,668.17","2,631.89","20.78B","1.36%"
"Nov 14, 2018","2,632.24","2,648.31","2,658.31","2,627.96","23.84B","-0.85%"
"Nov 13, 2018","2,654.88","2,600.50","2,666.49","2,597.35","24.93B","0.93%"
"Nov 12, 2018","2,630.52","2,593.20","2,631.17","2,590.21","17.50B","1.22%"
"Nov 09, 2018","2,598.87","2,621.24","2,621.24","2,598.16","15.24B","-1.39%"
"Nov 08, 2018","2,635.63","2,660.09","2,662.37","2,632.30","15.96B","-0.22%"
"Nov 07, 2018","2,641.34","2,659.84","2,675.68","2,639.25","17.32B","-0.68%"
"Nov 06, 2018","2,659.36","2,660.72","2,660.86","2,635.32","16.37B","-0.23%"
"Nov 05, 2018","2,665.43","2,665.43","2,673.19","2,639.27","19.38B","-0.41%"
"Nov 02, 2018","2,676.48","2,649.25","2,676.48","2,628.87","22.50B","2.70%"
"Nov 01, 2018","2,606.24","2,617.03","2,636.80","2,603.65","20.09B","0.13%"
"Oct 31, 2018","2,602.78","2,573.01","2,612.92","2,567.03","18.06B","1.35%"
"Oct 30, 2018","2,568.05","2,538.57","2,586.92","2,521.78","16.67B","1.02%"
"Oct 29, 2018","2,542.10","2,593.59","2,595.54","2,529.19","13.42B","-2.18%"
"Oct 26, 2018","2,598.85","2,610.90","2,626.12","2,580.85","15.89B","-0.19%"
"Oct 25, 2018","2,603.80","2,540.93","2,606.10","2,531.53","16.20B","0.02%"
"Oct 24, 2018","2,603.30","2,579.97","2,640.40","2,577.77","16.01B","0.33%"
"Oct 23, 2018","2,594.83","2,652.65","2,659.81","2,583.26","17.83B","-2.26%"
"Oct 22, 2018","2,654.88","2,565.64","2,675.41","2,565.64","21.19B","4.09%"
"Oct 19, 2018","2,550.47","2,460.08","2,553.39","2,449.20","14.73B","2.58%"
"Oct 18, 2018","2,486.42","2,544.91","2,544.91","2,485.62","12.54B","-2.94%"
"Oct 17, 2018","2,561.61","2,574.31","2,582.55","2,517.57","13.00B","0.60%"
"Oct 16, 2018","2,546.33","2,567.76","2,597.72","2,536.44","11.94B","-0.85%"
"Oct 15, 2018","2,568.10","2,605.91","2,611.97","2,564.74","11.86B","-1.49%"
"Oct 12, 2018","2,606.91","2,574.04","2,615.92","2,536.67","17.01B","0.91%"
"Oct 11, 2018","2,583.46","2,643.07","2,661.29","2,560.32","19.72B","-5.22%"
