"Date","Price","Open","High","Low","Change %"
"Oct 18","8.4367","8.1483","8.4547","8.1165","3.55%"
"Sep 18","8.1473","8.3848","8.4681","8.0826","-2.86%"
"Aug 18","8.3873","8.1564","8.5095","8.1532","2.82%"
"Jul 18","8.1569","8.1455","8.2768","7.9875","0.15%"
"Jun 18","8.1445","8.1804","8.2302","7.9775","-0.42%"
"May 18","8.1792","8.0143","8.3329","7.9641","2.04%"
"Apr 18","8.0159","7.8371","8.0312","7.7325","2.11%"
"Mar 18","7.8503","7.9026","7.9462","7.6502","-0.65%"
"Feb 18","7.9016","7.7133","8.0581","7.6335","2.45%"
"Jan 18","7.7125","8.2098","8.2112","7.6399","-6.05%"
"Dec 17","8.2095","8.3203","8.4209","8.1725","-1.32%"
"Nov 17","8.3192","8.1688","8.3451","8.1081","1.84%"
"Oct 17","8.1691","7.9771","8.2309","7.8505","2.61%"
"Sep 17","7.9615","7.7618","7.9895","7.7022","2.58%"
"Aug 17","7.7613","7.8634","8.0083","7.7024","-1.31%"
"Jul 17","7.8641","8.3408","8.4241","7.8569","-5.79%"
"Jun 17","8.3472","8.4355","8.5675","8.3382","-1.04%"
"May 17","8.4353","8.5578","8.7183","8.3010","-1.73%"
"Apr 17","8.5836","8.5997","8.6966","8.4733","-0.15%"
"Mar 17","8.5964","8.3937","8.6322","8.3730","2.41%"
"Feb 17","8.3944","8.2477","8.4223","8.1736","1.80%"
"Jan 17","8.2460","8.6377","8.6922","8.2245","-4.55%"
"Dec 16","8.6395","8.5246","8.7605","8.3146","1.34%"
"Nov 16","8.5256","8.2642","8.6481","8.1409","3.22%"
"Oct 16","8.2594","7.9948","8.3031","7.9443","3.43%"
"Sep 16","7.9858","8.3192","8.4025","7.9723","-4.07%"
"Aug 16","8.3242","8.4202","8.5192","8.1176","-1.47%"
"Jul 16","8.4486","8.3634","8.6091","8.2762","1.01%"
"Jun 16","8.3643","8.3718","8.7285","8.0695","-0.19%"
"May 16","8.3799","8.0534","8.4074","7.9663","4.07%"
"Apr 16","8.0523","8.2747","8.3911","8.0411","-2.60%"
"Mar 16","8.2674","8.6993","8.7277","8.2528","-4.90%"
"Feb 16","8.6931","8.6827","8.7639","8.4482","0.19%"
"Jan 16","8.6767","8.8397","8.9938","8.5940","-1.87%"
"Dec 15","8.8423","8.6967","8.8755","8.4542","1.65%"
"Nov 15","8.6987","8.4779","8.7357","8.4255","2.53%"
