"Date","Price","Open","High","Low","Change %"
"Dec 07, 2018","2.396","2.409","2.412","2.394","-0.57%"
"Dec 06, 2018","2.410","2.417","2.420","2.407","-0.52%"
"Dec 05, 2018","2.422","2.422","2.422","2.422","-0.02%"
"Dec 04, 2018","2.423","2.397","2.428","2.389","3.46%"
"Dec 03, 2018","2.342","2.358","2.371","2.340","-0.56%"
"Dec 02, 2018","2.355","2.355","2.355","2.355","-0.33%"
"Nov 30, 2018","2.363","2.371","2.373","2.353","-0.13%"
"Nov 29, 2018","2.366","2.392","2.392","2.358","-0.88%"
"Nov 28, 2018","2.387","2.405","2.407","2.382","-0.75%"
"Nov 27, 2018","2.405","2.405","2.425","2.402","0.25%"
"Nov 26, 2018","2.399","2.404","2.414","2.399","-0.31%"
"Nov 25, 2018","2.407","2.407","2.407","2.407","0.10%"
"Nov 23, 2018","2.404","2.404","2.407","2.404","0.09%"
"Nov 22, 2018","2.402","2.402","2.402","2.402","-0.22%"
"Nov 21, 2018","2.407","2.397","2.409","2.386","0.63%"
"Nov 20, 2018","2.392","2.387","2.395","2.376","1.57%"
"Nov 19, 2018","2.355","2.352","2.365","2.352","0.10%"
"Nov 18, 2018","2.353","2.353","2.353","2.353","-0.10%"
"Nov 16, 2018","2.355","2.376","2.378","2.348","-0.46%"
"Nov 15, 2018","2.366","2.381","2.399","2.366","-0.42%"
"Nov 14, 2018","2.376","2.382","2.402","2.374","1.11%"
"Nov 13, 2018","2.350","2.350","2.355","2.345","-0.22%"
"Nov 12, 2018","2.355","2.355","2.355","2.355","0.00%"
"Nov 09, 2018","2.355","2.350","2.355","2.350","-0.13%"
"Nov 08, 2018","2.358","2.366","2.366","2.353","-0.13%"
"Nov 07, 2018","2.361","2.376","2.405","2.356","-0.21%"
"Nov 06, 2018","2.366","2.361","2.405","2.351","1.89%"
"Nov 05, 2018","2.322","2.332","2.332","2.319","-0.11%"
"Nov 04, 2018","2.325","2.325","2.325","2.325","-0.11%"
"Nov 02, 2018","2.327","2.319","2.355","2.319","0.09%"
"Nov 01, 2018","2.325","2.330","2.333","2.322","-0.34%"
"Oct 31, 2018","2.333","2.341","2.346","2.330","-0.21%"
"Oct 30, 2018","2.338","2.330","2.351","2.330","1.04%"
"Oct 29, 2018","2.314","2.329","2.337","2.312","-0.67%"
"Oct 28, 2018","2.330","2.327","2.330","2.327","0.11%"
"Oct 26, 2018","2.327","2.330","2.330","2.325","-0.34%"
"Oct 25, 2018","2.335","2.330","2.340","2.330","-0.21%"
"Oct 24, 2018","2.340","2.341","2.366","2.330","0.00%"
"Oct 23, 2018","2.340","2.341","2.346","2.336","1.21%"
"Oct 22, 2018","2.312","2.314","2.314","2.309","0.13%"
"Oct 21, 2018","2.309","2.309","2.309","2.309","0.00%"
"Oct 19, 2018","2.309","2.314","2.314","2.306","-0.04%"
"Oct 18, 2018","2.310","2.315","2.315","2.309","0.00%"
"Oct 17, 2018","2.310","2.310","2.320","2.310","0.00%"
"Oct 16, 2018","2.310","2.305","2.318","2.305","1.18%"
"Oct 15, 2018","2.283","2.265","2.286","2.265","0.54%"
"Oct 14, 2018","2.271","2.271","2.271","2.271","0.00%"
"Oct 12, 2018","2.271","2.266","2.273","2.266","0.22%"
"Oct 11, 2018","2.266","2.269","2.274","2.263","-0.35%"
"Oct 10, 2018","2.274","2.263","2.305","2.263","1.65%"
"Oct 09, 2018","2.237","2.222","2.247","2.222","0.92%"
"Oct 08, 2018","2.217","2.217","2.217","2.217","0.00%"
"Oct 05, 2018","2.217","2.222","2.222","2.214","-0.23%"
"Oct 04, 2018","2.222","2.230","2.348","2.222","-0.04%"
"Oct 03, 2018","2.223","2.346","2.346","2.217","0.00%"
"Oct 02, 2018","2.223","2.346","2.346","2.217","0.77%"
"Oct 01, 2018","2.206","2.201","2.214","2.201","0.09%"
"Sep 30, 2018","2.204","2.204","2.204","2.204","0.23%"
"Sep 28, 2018","2.199","2.196","2.207","2.184","0.32%"
"Sep 27, 2018","2.192","2.202","2.204","2.184","-0.90%"
"Sep 26, 2018","2.212","2.217","2.217","2.197","-0.14%"
"Sep 25, 2018","2.215","2.218","2.223","2.212","1.93%"
"Sep 24, 2018","2.173","2.181","2.186","2.173","0.00%"
"Sep 23, 2018","2.173","2.173","2.173","2.173","0.00%"
"Sep 21, 2018","2.173","2.171","2.186","2.171","0.18%"
"Sep 20, 2018","2.169","2.181","2.181","2.166","0.14%"
"Sep 19, 2018","2.166","2.179","2.187","2.166","-0.37%"
"Sep 18, 2018","2.174","2.171","2.184","2.166","0.74%"
"Sep 17, 2018","2.158","2.150","2.160","2.145","0.24%"
"Sep 16, 2018","2.153","2.153","2.153","2.153","0.00%"
"Sep 14, 2018","2.153","2.155","2.155","2.140","0.47%"
"Sep 13, 2018","2.143","2.156","2.156","2.140","-0.37%"
"Sep 12, 2018","2.151","2.151","2.151","2.151","-0.09%"
"Sep 11, 2018","2.153","2.151","2.156","2.151","0.98%"
"Sep 10, 2018","2.132","2.140","2.142","2.132","-0.37%"
"Sep 09, 2018","2.140","2.140","2.140","2.140","0.14%"
"Sep 07, 2018","2.137","2.140","2.143","2.130","0.33%"
"Sep 06, 2018","2.130","2.140","2.145","2.128","-0.23%"
"Sep 05, 2018","2.135","2.130","2.135","2.130","0.85%"
"Sep 04, 2018","2.117","2.112","2.127","2.096","0.74%"
"Sep 03, 2018","2.102","2.102","2.102","2.102","-0.12%"
"Aug 31, 2018","2.104","2.099","2.119","2.097","-0.05%"
"Aug 30, 2018","2.105","2.128","2.128","2.102","-0.94%"
"Aug 29, 2018","2.125","2.125","2.130","2.125","-0.14%"
"Aug 28, 2018","2.128","2.125","2.128","2.120","0.90%"
"Aug 27, 2018","2.109","2.096","2.109","2.096","0.47%"
"Aug 26, 2018","2.099","2.099","2.099","2.099","0.25%"
"Aug 24, 2018","2.094","2.079","2.102","2.079","0.72%"
"Aug 23, 2018","2.079","2.079","2.107","2.074","-0.24%"
"Aug 22, 2018","2.084","2.079","2.084","2.079","0.24%"
"Aug 21, 2018","2.079","2.077","2.079","2.074","1.91%"
"Aug 20, 2018","2.040","2.058","2.058","2.040","-0.13%"
"Aug 19, 2018","2.043","2.043","2.043","2.043","0.00%"
"Aug 17, 2018","2.043","2.058","2.063","2.040","-1.02%"
"Aug 16, 2018","2.064","2.074","2.079","2.053","-0.24%"
"Aug 15, 2018","2.069","2.069","2.084","2.069","-0.62%"
"Aug 14, 2018","2.082","2.069","2.082","2.069","1.91%"
"Aug 13, 2018","2.043","2.053","2.060","2.043","-0.36%"
"Aug 12, 2018","2.050","2.050","2.050","2.050","0.26%"
"Aug 10, 2018","2.045","2.053","2.084","2.043","-0.29%"
"Aug 09, 2018","2.051","2.053","2.074","2.048","-0.24%"
"Aug 08, 2018","2.056","2.048","2.061","2.048","0.00%"
"Aug 07, 2018","2.056","2.056","2.061","2.048","2.09%"
"Aug 06, 2018","2.014","2.007","2.020","2.007","0.35%"
"Aug 05, 2018","2.007","2.007","2.007","2.007","0.00%"
"Aug 03, 2018","2.007","2.007","2.012","2.004","0.00%"
"Aug 02, 2018","2.007","2.028","2.028","2.000","-0.89%"
"Aug 01, 2018","2.025","2.033","2.033","2.025","-0.39%"
"Jul 31, 2018","2.033","2.038","2.043","2.028","2.11%"
"Jul 30, 2018","1.991","1.992","2.004","1.986","0.10%"
"Jul 29, 2018","1.989","1.989","1.989","1.989","-0.15%"
"Jul 27, 2018","1.992","1.992","1.992","1.989","0.15%"
"Jul 26, 2018","1.989","2.007","2.035","1.989","-0.55%"
"Jul 25, 2018","2.000","2.007","2.013","1.997","-0.35%"
"Jul 24, 2018","2.007","2.007","2.013","2.005","2.09%"
"Jul 23, 2018","1.966","1.986","2.025","1.963","-0.52%"
"Jul 22, 2018","1.976","1.976","1.976","1.976","-0.14%"
"Jul 20, 2018","1.979","1.992","2.002","1.976","-0.75%"
"Jul 19, 2018","1.994","1.997","2.017","1.987","-0.40%"
"Jul 18, 2018","2.002","2.023","2.048","2.002","-0.79%"
"Jul 17, 2018","2.018","2.023","2.025","2.013","1.87%"
"Jul 16, 2018","1.981","1.976","1.994","1.966","0.24%"
"Jul 15, 2018","1.976","1.976","1.976","1.976","0.26%"
"Jul 13, 2018","1.971","1.976","1.981","1.966","-0.15%"
"Jul 12, 2018","1.974","1.971","1.977","1.951","0.66%"
"Jul 11, 2018","1.961","1.984","1.987","1.956","-0.81%"
"Jul 10, 2018","1.977","1.987","1.990","1.977","0.82%"
"Jul 09, 2018","1.961","1.956","1.966","1.951","0.53%"
"Jul 08, 2018","1.951","1.951","1.951","1.951","0.00%"
"Jul 06, 2018","1.951","1.956","1.966","1.951","-0.26%"
"Jul 05, 2018","1.956","1.977","1.984","1.954","-0.79%"
"Jul 04, 2018","1.972","1.972","1.972","1.972","-0.38%"
"Jul 03, 2018","1.979","1.977","1.982","1.974","2.27%"
"Jul 02, 2018","1.935","1.935","1.943","1.920","0.79%"
"Jul 01, 2018","1.920","1.920","1.920","1.920","0.00%"
"Jun 29, 2018","1.920","1.935","1.943","1.917","0.00%"
"Jun 28, 2018","1.920","1.928","1.938","1.918","0.00%"
"Jun 27, 2018","1.920","1.933","1.936","1.920","-0.93%"
"Jun 26, 2018","1.938","1.933","1.944","1.933","2.05%"
"Jun 25, 2018","1.899","1.925","1.930","1.894","-1.35%"
"Jun 24, 2018","1.925","1.925","1.925","1.925","0.52%"
"Jun 22, 2018","1.915","1.936","1.946","1.912","-0.93%"
"Jun 21, 2018","1.933","1.931","1.943","1.931","0.00%"
"Jun 20, 2018","1.933","1.946","1.946","1.928","-0.51%"
"Jun 19, 2018","1.943","1.946","1.946","1.936","0.83%"
"Jun 18, 2018","1.927","1.935","1.943","1.928","-0.29%"
"Jun 17, 2018","1.933","1.935","1.935","1.933","0.00%"
"Jun 15, 2018","1.933","1.933","1.943","1.925","0.26%"
"Jun 14, 2018","1.928","1.936","1.943","1.920","-0.41%"
"Jun 13, 2018","1.936","1.938","1.943","1.925","0.16%"
"Jun 12, 2018","1.933","1.946","1.951","1.933","1.10%"
"Jun 11, 2018","1.912","1.930","1.940","1.905","-0.94%"
"Jun 10, 2018","1.930","1.930","1.930","1.930","0.27%"
"Jun 08, 2018","1.925","1.930","1.940","1.917","-0.26%"
"Jun 07, 2018","1.930","1.948","1.948","1.928","-0.57%"
"Jun 06, 2018","1.941","1.956","1.961","1.941","-0.36%"
"Jun 05, 2018","1.948","1.956","1.956","1.946","1.99%"
"Jun 04, 2018","1.910","1.915","1.925","1.905","-0.12%"
"Jun 03, 2018","1.912","1.912","1.912","1.912","0.12%"
"Jun 01, 2018","1.910","1.915","1.938","1.905","-0.26%"
"May 31, 2018","1.915","1.915","1.951","1.905","-0.42%"
"May 30, 2018","1.923","1.915","1.949","1.915","1.96%"
"May 29, 2018","1.886","1.899","1.904","1.884","-0.71%"
